SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-4-2022,Single Family Residential,342 Harmar St,Polish Hill,PA,15219,404000,3,3.0,Polish Hill,1800,3001,1915,,224,,Sold,,,https://www.redfin.com/PA/Pittsburgh/342-Harmar-St-15219/home/74562230,West Penn MLS,1568675,N,Y,40.4572213,-79.9675485
PAST SALE,October-4-2022,Single Family Residential,336 S Evaline St,Friendship Park,PA,15224,308000,3,1.0,Friendship Park,1879,3898,1924,,164,,Sold,,,https://www.redfin.com/PA/Pittsburgh/336-S-Evaline-St-15224/home/73530193,West Penn MLS,1563127,N,Y,40.4612113,-79.9419372
PAST SALE,October-3-2022,Condo/Co-op,2901 Smallman St Unit 2G,Downtown Pgh,PA,15201,500000,1,1.0,Downtown Pgh,1914,,1987,,261,432,Sold,,,https://www.redfin.com/PA/Pittsburgh/2901-Smallman-St-15201/unit-2G/home/74775222,West Penn MLS,1559531,N,Y,40.4589188,-79.974959
PAST SALE,October-1-2022,Multi-Family (2-4 Unit),5 Watt St,Hill District,PA,15219,217000,5,3.0,Hill District,,6429,1920,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/5-Watt-St-15219/home/74457125,West Penn MLS,1546441,N,Y,40.4467526,-79.9689504
PAST SALE,September-30-2022,Condo/Co-op,5023 Frew St Unit 1G,Squirrel Hill,PA,15213,599000,2,2.0,Squirrel Hill,,,1939,,,3456,Sold,,,https://www.redfin.com/PA/Pittsburgh/5023-Frew-St-15213/unit-1-G/home/147519282,West Penn MLS,1564243,N,Y,40.4406584,-79.9409255
PAST SALE,September-30-2022,Single Family Residential,923 Bryn Mawr Rd,Schenley Heights,PA,15219,103000,4,2.5,Schenley Heights,2358,2861,1925,,44,,Sold,,,https://www.redfin.com/PA/Pittsburgh/923-Bryn-Mawr-Rd-15219/home/74567558,West Penn MLS,1563724,N,Y,40.4518194,-79.9578387
PAST SALE,September-29-2022,Single Family Residential,5223 Coral St,Friendship Park,PA,15224,395000,4,1.5,Friendship Park,1232,2265,1910,,321,,Sold,,,https://www.redfin.com/PA/Pittsburgh/5223-Coral-St-15224/home/74658384,West Penn MLS,1570147,N,Y,40.4638814,-79.9391413
PAST SALE,September-29-2022,Condo/Co-op,4601 Fifth Ave #426,Oakland,PA,15213,148000,3,2.0,Oakland,1115,,1958,,133,1063,Sold,,,https://www.redfin.com/PA/Pittsburgh/4601-Fifth-Ave-15213/unit-426/home/147498831,West Penn MLS,1538278,N,Y,40.447339,-79.948719
PAST SALE,September-28-2022,Single Family Residential,506 Devonshire,Shadyside,PA,15213,2093000,5,4.5,Shadyside,4152,435,2000,,504,,Sold,,,https://www.redfin.com/PA/Pittsburgh/506-Devonshire-St-15213/home/74664414,West Penn MLS,1566400,N,Y,40.4510563,-79.945562
PAST SALE,September-28-2022,Single Family Residential,3209 Dobson St,Lawrenceville,PA,15219,584479,3,3.5,Lawrenceville,2971,,2020,,197,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3209-Dobson-St-15219/home/143077357,West Penn MLS,1466584,N,Y,40.458025,-79.965395
PAST SALE,September-27-2022,Single Family Residential,501 Amberson Ave,Shadyside,PA,15232,655000,3,2.5,Shadyside,2243,4081,1920,,292,,Sold,,,https://www.redfin.com/PA/Pittsburgh/501-Amberson-Ave-15232/home/74664694,West Penn MLS,1570138,N,Y,40.4521508,-79.9412308
PAST SALE,,Townhouse,640 Hollace St,Pittsburgh,PA,15219,69000,2,1.0,,930,1014,1928,,74,,,,,https://www.redfin.com/PA/Pittsburgh/640-Hollace-St-15219/home/73516110,,,N,Y,40.4509624,-79.9678688
PAST SALE,September-23-2022,Condo/Co-op,5 Bayard Rd #915,Shadyside,PA,15213,180000,1,1.0,Shadyside,848,,1969,,212,,Sold,,,https://www.redfin.com/PA/Pittsburgh/5-Bayard-Rd-15213/unit-915/home/74665032,West Penn MLS,1570852,N,Y,40.4526167,-79.9428455
PAST SALE,September-23-2022,Single Family Residential,4271 Bryn Mawr Rd,Schenley Heights,PA,15219,239500,3,2.0,Schenley Heights,2296,4416,1925,,104,,Sold,,,https://www.redfin.com/PA/Pittsburgh/4271-Bryn-Mawr-Rd-15219/home/73573718,West Penn MLS,1566457,N,Y,40.4509538,-79.9570629
PAST SALE,September-23-2022,Condo/Co-op,5 Bayard St #615,Shadyside,PA,15213,178000,1,1.0,Shadyside,848,,1969,,210,469,Sold,,,https://www.redfin.com/PA/Pittsburgh/5-Bayard-Rd-15213/unit-615/home/74665167,West Penn MLS,1570102,N,Y,40.4526045,-79.9428352
PAST SALE,September-23-2022,Condo/Co-op,4625 Fifth Ave #200,Oakland,PA,15213,143000,3,2.0,Oakland,1200,,1956,,119,866,Sold,,,https://www.redfin.com/PA/Pittsburgh/4625-Fifth-Ave-15213/unit-200/home/180753884,West Penn MLS,1568532,N,Y,40.4472165,-79.9480654
PAST SALE,September-22-2022,Multi-Family (2-4 Unit),533 S Winebiddle St,Bloomfield,PA,15224,294999,3,2.0,Bloomfield,,3920,1901,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/533-S-Winebiddle-St-15224/home/74661738,West Penn MLS,1563591,N,Y,40.4577974,-79.9443031
PAST SALE,September-22-2022,Single Family Residential,151 Pearl St,Bloomfield,PA,15224,340000,2,1.5,Bloomfield,1184,3175,1910,,287,,Sold,,,https://www.redfin.com/PA/Pittsburgh/151-Pearl-St-15224/home/74657854,West Penn MLS,1564725,N,Y,40.4642447,-79.9482061
PAST SALE,September-20-2022,Condo/Co-op,5 Bayard Rd #210,Shadyside,PA,15213,169000,1,1.0,Shadyside,840,,1969,,201,465,Sold,,,https://www.redfin.com/PA/Pittsburgh/5-Bayard-Rd-15213/unit-210/home/74664725,West Penn MLS,1561785,N,Y,40.4526167,-79.9428455
PAST SALE,,Multi-Family (2-4 Unit),3440 Melwood Ave,Pittsburgh,PA,15219,180000,2,2.0,,1470,2860,1900,,122,,,,,https://www.redfin.com/PA/Pittsburgh/3440-Melwood-Ave-15219/home/74563673,,,N,Y,40.4587767,-79.9617367
PAST SALE,September-16-2022,Condo/Co-op,5 Bayard Rd #719,Shadyside,PA,15213,221950,2,2.0,Shadyside,,,1969,,,703,Sold,,,https://www.redfin.com/PA/Pittsburgh/5-Bayard-Rd-15213/unit-719/home/74665125,West Penn MLS,1571238,N,Y,40.4526045,-79.9428352
PAST SALE,September-16-2022,Condo/Co-op,425 N Neville St #303,Oakland,PA,15213,185000,1,1.0,Oakland,986,,1980,,188,395,Sold,,,https://www.redfin.com/PA/Pittsburgh/425-N-Neville-St-15213/unit-303/home/74664484,West Penn MLS,1566064,N,Y,40.4509819,-79.9484432
PAST SALE,September-14-2022,Condo/Co-op,5 Bayard Rd #221,Shadyside,PA,15213,166000,1,1.0,Shadyside,709,,1969,,234,392,Sold,,,https://www.redfin.com/PA/Pittsburgh/5-Bayard-Rd-15213/unit-221/home/74664728,West Penn MLS,1563794,N,Y,40.4526045,-79.9428352
PAST SALE,September-14-2022,Condo/Co-op,540 N Neville St #806,Oakland,PA,15213,278000,2,2.0,Oakland,1680,,1973,,165,874,Sold,,,https://www.redfin.com/PA/Pittsburgh/540-N-Neville-St-15213/unit-806/home/73553933,West Penn MLS,1566622,N,Y,40.4490295,-79.9486984
