SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,DOLLAR PER SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-25-2019,Single Family Residential,1046 Herron Ave,Polish Hill,PA,15219,249000,3,1.5,Polish Hill,1792,,1880,,139,,Sold,,,https://www.redfin.com/PA/Pittsburgh/1046-Herron-Ave-15219/home/74563827,West Penn MLS,1372148,N,Y,40.4578007,-79.9636995
PAST SALE,February-13-2019,Single Family Residential,3522 Melwood,Polish Hill,PA,15213,206000,2,1,Polish Hill,1122,,1900,,184,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3522-Melwood-Ave-15213/home/74563864,West Penn MLS,1376977,N,Y,40.4593238,-79.9604283
PAST SALE,February-1-2019,Single Family Residential,3023 Brereton St,,PA,15219,153000,4,2,East Allegheny,,1498,,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3023-Brereton-St-15219/home/74775235,West Penn MLS,1369631,N,Y,40.456729,-79.9691855
PAST SALE,December-21-2018,Single Family Residential,3213 Brereton Ave,South-other Area,PA,15219,140000,3,1.5,South-Other Area,1500,1742,1900,,93,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3213-Brereton-St-15219/home/73524743,West Penn MLS,1365862,N,Y,40.4568622,-79.9657951
PAST SALE,December-12-2018,Single Family Residential,30 Revere Way,Polish Hill,PA,15219,155500,2,1.5,Polish Hill,,,1900,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/30-Revere-Way-15219/home/73573645,West Penn MLS,1365226,N,Y,40.4577775,-79.9664061
PAST SALE,November-29-2018,Single Family Residential,348 Harmar St,Polish Hill,PA,15219,155000,3,2,Polish Hill,1476,,1920,,105,,Sold,,,https://www.redfin.com/PA/Pittsburgh/348-Harmar-St-15219/home/74562209,West Penn MLS,1367274,N,Y,40.4570989,-79.9672788
PAST SALE,October-16-2018,Single Family Residential,3345 Melwood,Polish Hill,PA,15219,220000,4,2,Polish Hill,1615,,1895,,136,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3345-Melwood-Ave-15219/home/74563850,West Penn MLS,1356808,N,Y,40.4587873,-79.9625152
PAST SALE,October-12-2018,Ranch,3128 Dobson St,Polish Hill,PA,15219,1,0,,Polish Hill,,3484,,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3130-Dobson-St-15219/Frnt/home/113059858,West Penn MLS,1337228,N,Y,40.4572974,-79.9661639
PAST SALE,October-12-2018,Single Family Residential,3130 Dobson St,Polish Hill,PA,15219,340000,3,2,Polish Hill,,,1920,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3130-Dobson-St-15219/home/73574002,West Penn MLS,1337221,N,Y,40.4572941,-79.9661644
PAST SALE,September-28-2018,Single Family Residential,3413 Bethoven St,Polish Hill,PA,15219,360000,3,2.5,Polish Hill,1490,,1900,,242,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3413-Bethoven-St-15219/home/74563802,West Penn MLS,1338962,N,Y,40.4579711,-79.962193
PAST SALE,September-27-2018,Multi-Family (2-4 Unit),3063 Phelan,Polish Hill,PA,15219,84000,,,Polish Hill,,,1900,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3063-Phelan-Way-15219/home/74561608,West Penn MLS,1299010,N,Y,40.4563062,-79.9672535
PAST SALE,,Multi-Family (2-4 Unit),3329 Melwood Ave,Pittsburgh,PA,15219,155000,4,3,,1622,2200,1900,,96,,,,,https://www.redfin.com/PA/Pittsburgh/3329-Melwood-Ave-15219/home/74563856,,,N,Y,40.458613,-79.963093
PAST SALE,August-10-2018,Single Family Residential,1110 Herron Ave,Polish Hill,PA,15219,264000,3,2.5,Polish Hill,1980,1742,1905,,133,,Sold,,,https://www.redfin.com/PA/Pittsburgh/1110-Herron-Ave-15219/home/74563832,West Penn MLS,1316072,N,Y,40.4584276,-79.9641001
PAST SALE,August-3-2018,Multi-Family (2-4 Unit),3053 Brereton St,Polish Hill,PA,15219,335000,6,3,Polish Hill,3950,3484,1900,,85,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3053-Brereton-St-15219/home/74561670,West Penn MLS,1323069,N,Y,40.4567783,-79.9678141
PAST SALE,July-18-2018,Single Family Residential,3005 Paulowna St,Polish Hill,PA,15219,307500,5,2,Polish Hill,2370,,1900,,130,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3005-Paulowna-St-15219/home/74562204,West Penn MLS,1313898,N,Y,40.4558922,-79.9687924
PAST SALE,,Multi-Family (2-4 Unit),3052 Phelan Way,Pittsburgh,PA,15219,56000,3,1,,2412,1214,1900,,23,,,,,https://www.redfin.com/PA/Pittsburgh/3052-Phelan-Way-15219/home/74561593,,,N,Y,40.4561109,-79.9679665
PAST SALE,,Vacant Land,3608 Melwood Ave,Pittsburgh,PA,15213,10000,,,,,3286,,,,,,,,https://www.redfin.com/PA/Pittsburgh/3608-Melwood-Ave-15213/home/163416355,,,N,Y,40.4595081,-79.9596671
PAST SALE,June-25-2018,Single Family Residential,3543 Bethoven St,Polish Hill,PA,15213,285000,4,2.5,Polish Hill,1804,,1900,,158,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3543-Bethoven-St-15213/home/74563686,West Penn MLS,1331826,N,Y,40.4591153,-79.9593625
PAST SALE,June-15-2018,Single Family Residential,3207 Dobson,Polish Hill,PA,15219,375000,3,2.5,Polish Hill,,,1890,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3207-Dobson-St-15219/home/74563890,West Penn MLS,1320364,N,Y,40.4579846,-79.9654723
PAST SALE,,Single Family Residential,3719 Melwood Ave,Pittsburgh,PA,15213,87000,2,1,,1264,5450,1900,,69,,,,,https://www.redfin.com/PA/Pittsburgh/3719-Melwood-Ave-15213/home/74563121,,,N,Y,40.4602136,-79.9571425
PAST SALE,May-18-2018,Multi-Family (2-4 Unit),3513 Melwood Ave,Polish Hill,PA,15213,240000,3,2.5,Polish Hill,2300,3400,1900,,104,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3513-Melwood-Ave-15213/home/74563736,West Penn MLS,1331095,N,Y,40.459485,-79.960981
PAST SALE,April-13-2018,Single Family Residential,3518 Melwood,Polish Hill,PA,15213,121200,2,,Polish Hill,1200,,1900,,101,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3518-Melwood-Ave-15213/home/164142350,West Penn MLS,1321716,N,Y,40.4592564,-79.9605594
PAST SALE,April-11-2018,Single Family Residential,3709 Melwood,Polish Hill,PA,15213,455000,3,3,Polish Hill,1850,,1900,,246,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3709-Melwood-Ave-15213/home/74563116,West Penn MLS,1306927,N,Y,40.4600977,-79.9585349
PAST SALE,,Townhouse,3313 Cargill St,Pittsburgh,PA,15219,70000,2,1,,1488,2200,1900,,47,,,,,https://www.redfin.com/PA/Pittsburgh/3313-Cargill-St-15219/home/74563787,,,N,Y,40.4579118,-79.9633115
PAST SALE,,Multi-Family (2-4 Unit),3553 Bethoven St,Pittsburgh,PA,15213,225000,4,3,,3248,2675,1900,,69,,,,,https://www.redfin.com/PA/Pittsburgh/3553-Bethoven-St-15213/home/74563694,,,N,Y,40.4592409,-79.9590297
PAST SALE,February-21-2018,Single Family Residential,3331 Melwood Ave,Polish Hill,PA,15219,252000,2,1.5,Polish Hill,1443,,1900,,175,,Sold,,,https://www.redfin.com/PA/Pittsburgh/3331-Melwood-Ave-15219/home/74563858,West Penn MLS,1311595,N,Y,40.4586037,-79.9630068
